CNN,Training image count,Noise addition,Label count,Epoch count,Loss,Accuracy
Fashion-MNIST,20000,0,4,9,0.0259,0.9924
Fashion-MNIST,20000,0,4,10,0.0219,0.9935
Fashion-MNIST,20000,0,4,11,0.0211,0.9929
Fashion-MNIST,20000,0,4,12,0.0139,0.997
Fashion-MNIST,20000,0,4,13,0.0124,0.9975
Fashion-MNIST,20000,0,4,14,0.0118,0.9967
Fashion-MNIST,20000,0,4,15,0.0101,0.9971
Fashion-MNIST,20000,0,4,16,0.0102,0.9968
Fashion-MNIST,20000,0,4,17,0.0121,0.9965
Fashion-MNIST,20000,0,4,18,0.0087,0.9978
Fashion-MNIST,20000,0,4,19,0.0075,0.9985
Fashion-MNIST,20000,0,4,20,0.008,0.9984
Fashion-MNIST,20000,0,4,21,0.0071,0.9985
Fashion-MNIST,20000,0,4,22,0.0055,0.9988
Fashion-MNIST,20000,0,4,23,0.0065,0.9986
Fashion-MNIST,20000,0,4,24,0.0054,0.9985
Fashion-MNIST,20000,0,4,25,0.0081,0.998
Fashion-MNIST,20000,0,4,26,0.0051,0.9989
Fashion-MNIST,20000,0,4,27,0.0077,0.9981
Fashion-MNIST,20000,0,4,28,0.0071,0.9982
Fashion-MNIST,20000,0,4,29,0.005,0.9988
Fashion-MNIST,20000,0,4,30,0.0037,0.999
Fashion-MNIST,20000,0,4,31,0.0049,0.999
Fashion-MNIST,20000,0,4,32,0.0084,0.9979
Fashion-MNIST,20000,0,4,33,0.0068,0.9985
Fashion-MNIST,20000,0,4,34,0.0046,0.999
Fashion-MNIST,20000,0,4,35,0.0042,0.9993
Fashion-MNIST,20000,0,4,36,0.0049,0.9993
Fashion-MNIST,20000,0,4,37,0.0049,0.9991
Fashion-MNIST,20000,0,4,38,0.0047,0.9992
Fashion-MNIST,20000,0,4,39,0.0043,0.9991
Fashion-MNIST,20000,0,4,40,0.0048,0.9989
Fashion-MNIST,20000,0,4,41,0.0039,0.9993
Fashion-MNIST,20000,0,4,42,0.0055,0.9987
Fashion-MNIST,20000,0,4,43,0.0059,0.9993
Fashion-MNIST,20000,0,4,44,0.0056,0.999
Fashion-MNIST,20000,0,4,45,0.0037,0.9995
Fashion-MNIST,20000,0,4,46,0.0037,0.9992
Fashion-MNIST,20000,0,4,47,0.0049,0.999
Fashion-MNIST,20000,0,4,48,0.0046,0.9993
Fashion-MNIST,20000,0,4,49,0.0052,0.9993
Fashion-MNIST,20000,0,4,50,0.0046,0.9994
Fashion-MNIST,20000,0,4,51,0.0061,0.9989
Fashion-MNIST,20000,0,4,52,0.004,0.9994
Fashion-MNIST,20000,0,4,53,0.0037,0.9992
Fashion-MNIST,20000,0,4,54,0.0045,0.9992
Fashion-MNIST,20000,0,4,55,0.0038,0.999
Fashion-MNIST,20000,0,4,56,0.0042,0.9992
Fashion-MNIST,20000,0,4,57,0.0049,0.999
Fashion-MNIST,20000,0,4,58,0.0045,0.9991
Fashion-MNIST,20000,0,4,59,0.0041,0.999
Fashion-MNIST,20000,0,4,60,0.0036,0.9994
Fashion-MNIST,20000,0,4,61,0.0047,0.9993
Fashion-MNIST,20000,0,4,62,0.0072,0.9986
Fashion-MNIST,20000,0,4,63,0.0054,0.9989
Fashion-MNIST,20000,0,4,64,0.0043,0.9989
Fashion-MNIST,20000,0,4,65,0.0039,0.9995
Fashion-MNIST,20000,0,4,66,0.0034,0.9993
Fashion-MNIST,20000,0,4,67,0.0042,0.9993
Fashion-MNIST,20000,0,4,68,0.0041,0.9991
Fashion-MNIST,20000,0,4,69,0.0035,0.9993
Fashion-MNIST,20000,0,4,70,0.0041,0.9993
Fashion-MNIST,20000,0,4,71,0.0048,0.9989
Fashion-MNIST,20000,0,4,72,0.005,0.999
Fashion-MNIST,20000,0,4,73,0.0042,0.9991
